NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
1,서울특별시 노원구 상계동,734-3,734,3,노빌리안골드,월세,27.58,202212,30,"1,000",55,12,2004,노해로 452,202212~202312,신규,-,,
2,서울특별시 노원구 상계동,734-3,734,3,노빌리안골드,월세,27.58,202212,30,500,55,11,2004,노해로 452,202212~202312,신규,-,,
3,서울특별시 노원구 중계동,506,506,0,-506,월세,41.68,202212,29,"1,000",75,8,2005,동일로203가길 29,202303~202403,신규,-,,
4,서울특별시 노원구 공릉동,670-11,670,11,로우폴리스,월세,22.99,202212,29,"1,000",50,13,2004,화랑로 449-7,202302~202402,신규,-,,
5,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,27.78,202212,28,"1,000",50,4,2004,동일로 1701,202302~202402,신규,-,,
6,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,월세,18.96,202212,28,"1,000",70,18,2023,상계로 32,202301~202401,신규,-,,
7,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,월세,18.96,202212,27,"1,000",70,10,2023,상계로 32,202301~202501,신규,-,,
8,서울특별시 노원구 하계동,256-13,256,13,삼정 이오니아,월세,26.91,202212,24,"1,000",55,5,2003,노원로 248,202301~202401,신규,-,,
9,서울특별시 노원구 상계동,341-7,341,7,마블러스1,월세,25.53,202212,24,"1,000",55,7,2003,상계로 90,202301~202501,신규,-,,
10,서울특별시 노원구 하계동,256-13,256,13,삼정 이오니아,월세,26.91,202212,23,"1,000",55,5,2003,노원로 248,202301~202401,신규,-,,
11,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202212,22,"1,000",42,6,2004,동일로 1701,202301~202501,신규,-,,
12,서울특별시 노원구 공릉동,670-11,670,11,로우폴리스,월세,22.99,202212,21,"8,000",10,7,2004,화랑로 449-7,202301~202412,신규,-,,
13,서울특별시 노원구 월계동,366-3,366,3,카펠라오피스텔,월세,30,202212,20,500,55,5,2003,광운로 86,202302~202402,신규,-,,
14,서울특별시 노원구 공릉동,653-5,653,5,엘네스트빌 오피스텔,월세,24,202212,20,"1,000",50,4,2003,화랑로 465,202302~202502,신규,-,,
15,서울특별시 노원구 공릉동,670-11,670,11,로우폴리스,월세,22.99,202212,20,"8,000",10,7,2004,화랑로 449-7,-,-,-,,
16,서울특별시 노원구 상계동,341-15,341,15,마블러스2,전세,25.62,202212,19,"7,500",0,7,2003,상계로 90,202212~202412,신규,-,,
17,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202212,19,"2,000",32,13,2004,동일로 1701,202301~202401,갱신,사용,"2,000",30
18,서울특별시 노원구 상계동,1267,1267,0,토마토파르코,월세,36.77,202212,17,"1,000",60,10,2005,동일로 1700,202301~202501,신규,-,,
19,서울특별시 노원구 상계동,1262,1262,0,하이베라스,월세,41.35,202212,16,"1,000",70,5,2003,동일로 1689,202212~202412,신규,-,,
20,서울특별시 노원구 상계동,1262,1262,0,하이베라스,전세,39.29,202212,16,"13,000",0,3,2003,동일로 1689,202302~202502,신규,-,,
21,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202212,13,500,45,5,2004,동일로 1701,202212~202312,신규,-,,
22,서울특별시 노원구 공릉동,383-7,383,7,NS1077,월세,25.65,202212,12,"1,000",50,8,2004,동일로 1077,202212~202412,신규,-,,
23,서울특별시 노원구 상계동,693-2,693,2,(693-2),월세,29.87,202212,12,500,55,6,1993,상계로 55,202301~202401,신규,-,,
