NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 노원구 공릉동,5**,8m미만,21.23,월세,202212,31,"3,000",67,2016,동일로182길,202302~202502,신규,-,,,단독다가구
2,서울특별시 노원구 공릉동,3**,8m미만,12.1,월세,202212,31,500,40,2017,동일로190길,202301~202401,신규,-,,,단독다가구
3,서울특별시 노원구 공릉동,3**,8m미만,16.52,월세,202212,31,"1,000",39,2017,동일로190길,202212~202401,신규,-,,,단독다가구
4,서울특별시 노원구 공릉동,6**,8m미만,19,월세,202212,31,500,40,2014,공릉로22길,202302~202502,신규,-,,,단독다가구
5,서울특별시 노원구 공릉동,5**,12m미만,29.1,월세,202212,31,"1,000",40,1992,동일로178길,202212~202412,신규,-,,,단독다가구
6,서울특별시 노원구 공릉동,4**,8m미만,15,월세,202212,31,"1,000",40,2016,공릉로,202302~202402,신규,-,,,단독다가구
7,서울특별시 노원구 공릉동,2**,8m미만,57.75,전세,202212,31,"25,000",0,2017,노원로1마길,202302~202502,신규,-,,,단독다가구
8,서울특별시 노원구 월계동,5**,8m미만,15,월세,202212,31,500,40,2016,광운로15길,202302~202408,신규,-,,,단독다가구
9,서울특별시 노원구 월계동,5**,8m미만,14,월세,202212,31,500,50,2009,광운로15길,202302~202402,신규,-,,,단독다가구
10,서울특별시 노원구 공릉동,2**,8m미만,12.7,월세,202212,31,500,40,2017,노원로1마길,202301~202401,신규,-,,,단독다가구
11,서울특별시 노원구 공릉동,4**,8m미만,20,월세,202212,31,500,46,2015,공릉로41가길,202302~202402,신규,-,,,단독다가구
12,서울특별시 노원구 공릉동,4**,8m미만,16,전세,202212,31,"4,500",0,2017,공릉로,-,-,-,,,단독다가구
13,서울특별시 노원구 월계동,5**,8m미만,16,전세,202212,31,"6,000",0,2009,광운로15길,-,-,-,,,단독다가구
14,서울특별시 노원구 상계동,3**,12m미만,15,월세,202212,31,500,40,2017,상계로11길,202301~202412,갱신,사용,500,40,단독다가구
15,서울특별시 노원구 상계동,3**,8m미만,23.76,월세,202212,31,200,25,1992,상계로24길,-,-,-,,,단독다가구
16,서울특별시 노원구 월계동,3**,8m미만,15,전세,202212,31,"7,000",0,2014,광운로15길,202302~202502,신규,-,,,단독다가구
17,서울특별시 노원구 공릉동,3**,-,12.1,월세,202212,31,500,40,2017,,-,-,-,,,단독다가구
18,서울특별시 노원구 공릉동,4**,-,20,월세,202212,31,"1,000",40,2016,,-,-,-,,,단독다가구
19,서울특별시 노원구 공릉동,5**,8m미만,18,월세,202212,31,500,40,2015,동일로184길,202302~202402,신규,-,,,단독다가구
20,서울특별시 노원구 공릉동,5**,12m미만,14.3,월세,202212,31,500,40,2012,동일로186길,202302~202402,신규,-,,,단독다가구
21,서울특별시 노원구 공릉동,2**,8m미만,13,월세,202212,30,"1,000",40,2017,노원로1마길,202302~202402,신규,-,,,단독다가구
