NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 노원구 월계동,502-5,502,5,(502-5),월세,15.09,202212,31,"1,000",45,3,2012,광운로1길 36,202302~202402,신규,-,,,연립다세대
2,서울특별시 노원구 공릉동,441-70,441,70,해오름.H,월세,14.63,202212,31,500,40,3,2013,공릉로43가길 13,202302~202402,신규,-,,,연립다세대
3,서울특별시 노원구 공릉동,575-26,575,26,건양월드빌(575-26),전세,42.08,202212,31,"11,000",0,4,2003,동일로179길 17-5,202301~202501,신규,-,,,연립다세대
4,서울특별시 노원구 중계동,90-26,90,26,동신다가구(90-26),전세,44.48,202212,31,"10,000",0,1,1995,중계로14바길 34-1,202301~202412,신규,-,,,연립다세대
5,서울특별시 노원구 공릉동,503-41,503,41,마인드밸리,월세,72.25,202212,31,500,40,3,2005,동일로190길 50,202302~202402,신규,-,,,연립다세대
6,서울특별시 노원구 공릉동,513-35,513,35,명당드림타워,월세,44.77,202212,31,"15,000",15,4,2013,동일로186길 38-7,-,갱신,-,"15,000",15,연립다세대
7,서울특별시 노원구 월계동,390-10,390,10,시원하림스위트,월세,48.95,202212,31,"10,000",66,5,2018,광운로17길 13,202302~202502,신규,-,,,연립다세대
8,서울특별시 노원구 공릉동,441-61,441,61,시온하우스,전세,44.21,202212,30,"17,000",0,5,2014,공릉로43가길 3,-,-,-,,,연립다세대
9,서울특별시 노원구 상계동,101-64,101,64,양지빌라,월세,94.15,202212,30,"13,000",30,2,1997,덕릉로115나길 14,202302~202502,신규,-,,,연립다세대
10,서울특별시 노원구 상계동,387-10,387,10,중앙프라자,전세,13.36,202212,30,"11,200",0,2,2013,상계로 146,202302~202502,-,-,,,연립다세대
11,서울특별시 노원구 월계동,502-5,502,5,(502-5),월세,14.68,202212,30,"1,000",50,2,2012,광운로1길 36,202303~202402,신규,-,,,연립다세대
12,서울특별시 노원구 공릉동,584-26,584,26,센스빌,월세,29.28,202212,30,"4,000",50,5,2002,동일로178길 19-20,202301~202501,신규,-,,,연립다세대
13,서울특별시 노원구 공릉동,593-3,593,3,드림데시앙,월세,33.13,202212,30,"9,000",30,5,2003,동일로178길 14,202302~202502,신규,-,,,연립다세대
14,서울특별시 노원구 공릉동,509-24,509,24,(509-24),월세,12.04,202212,30,"2,000",30,2,2011,동일로184길 57-3,-,-,-,,,연립다세대
15,서울특별시 노원구 공릉동,441-47,441,47,해비치빌,월세,19.36,202212,29,"1,000",45,2,2015,공릉로43가길 16-7,202302~202402,신규,-,,,연립다세대
16,서울특별시 노원구 월계동,411-15,411,15,제이앤제이하우스,월세,14.2,202212,29,"1,000",39,2,2012,석계로13길 40,202302~202402,신규,-,,,연립다세대
17,서울특별시 노원구 상계동,71-87,71,87,호연빌라,월세,35.25,202212,29,"4,000",10,2,1996,덕릉로126가길 77,-,-,-,,,연립다세대
18,서울특별시 노원구 공릉동,121,121,0,태릉현대홈타운스위트2단지,월세,120.061,202212,29,"33,600",105,1,2004,화랑로51나길 36,202302~202502,신규,-,,,연립다세대
19,서울특별시 노원구 공릉동,506-29,506,29,(506-29),월세,12.3,202212,29,"2,000",40,2,2011,동일로186길 76,202302~202402,신규,-,,,연립다세대
20,서울특별시 노원구 월계동,534-133,534,133,534-133,전세,58.15,202212,28,"22,000",0,3,2017,월계로44길 63,202304~202504,신규,-,,,연립다세대
21,서울특별시 노원구 하계동,178-1,178,1,별궁,월세,12.01,202212,28,500,40,2,2012,공릉로62길 27-7,202302~202402,신규,-,,,연립다세대
22,서울특별시 노원구 하계동,61-17,61,17,(61-17),월세,12.6,202212,28,"1,000",30,3,2020,공릉로58다길 16-11,-,-,-,,,연립다세대
23,서울특별시 노원구 공릉동,270-56,270,56,(270-56),월세,26.38,202212,28,"8,000",18,4,2003,노원로1라길 2,202302~202502,신규,-,,,연립다세대
24,서울특별시 노원구 월계동,411-15,411,15,제이앤제이하우스,월세,14.56,202212,28,"3,000",34,4,2012,석계로13길 40,202302~202402,신규,-,,,연립다세대
25,서울특별시 노원구 월계동,479-18,479,18,연안주택,월세,12.06,202212,28,"1,000",40,3,2012,광운로2가길 10-10,202302~202402,신규,-,,,연립다세대
26,서울특별시 노원구 공릉동,506-29,506,29,(506-29),월세,12.07,202212,28,"2,000",37,2,2011,동일로186길 76,202302~202402,신규,-,,,연립다세대
27,서울특별시 노원구 공릉동,556-10,556,10,시티하우스,전세,14.3,202212,28,"9,000",0,3,2012,동일로182길 47-33,-,-,-,,,연립다세대
28,서울특별시 노원구 공릉동,556-10,556,10,시티하우스,전세,14.3,202212,28,"9,000",0,3,2012,동일로182길 47-33,202302~202502,신규,-,,,연립다세대
29,서울특별시 노원구 공릉동,567-12,567,12,파크빌(567-12),월세,16.61,202212,28,100,40,4,2012,동일로182길 10,202301~202401,신규,-,,,연립다세대
30,서울특별시 노원구 월계동,534-133,534,133,534-133,전세,58.15,202212,28,"22,000",0,3,2017,월계로44길 63,202304~202504,신규,-,,,연립다세대
31,서울특별시 노원구 월계동,534-133,534,133,534-133,전세,58.15,202212,28,"22,000",0,3,2017,월계로44길 63,-,-,-,,,연립다세대
32,서울특별시 노원구 상계동,193-31,193,31,우리빌,월세,21.85,202212,28,"2,000",37,2,2013,노원로30길 58-17,202212~202412,신규,-,,,연립다세대
33,서울특별시 노원구 월계동,496-52,496,52,(496-52),월세,13.5,202212,27,500,45,3,2012,광운로3길 15-4,202302~202402,갱신,-,500,45,연립다세대
34,서울특별시 노원구 공릉동,240-220,240,220,상진빌리지,전세,45.27,202212,27,"25,000",0,3,2016,노원로1나길 15,-,-,-,,,연립다세대
35,서울특별시 노원구 공릉동,503-1,503,1,스톤게이트,월세,12.05,202212,27,"2,000",37,5,2012,동일로190길 46,202302~202402,신규,-,,,연립다세대
36,서울특별시 노원구 공릉동,503-40,503,40,골든HOUSE,월세,12.27,202212,27,500,44,2,2011,동일로186길 53-52,202302~202402,신규,-,,,연립다세대
37,서울특별시 노원구 공릉동,633-10,633,10,애지빌라,전세,36.89,202212,27,"12,500",0,2,1991,공릉로 111,202302~202502,신규,-,,,연립다세대
38,서울특별시 노원구 공릉동,240-42,240,42,삼성쉐르빌,전세,35.16,202212,27,"14,000",0,5,2002,공릉로32길 15,202302~202502,신규,-,,,연립다세대
39,서울특별시 노원구 하계동,167-5,167,5,(167-5),월세,18.15,202212,27,500,45,2,2012,공릉로58나길 1,202302~202502,신규,-,,,연립다세대
40,서울특별시 노원구 공릉동,240-220,240,220,상진빌리지,전세,37.92,202212,27,"22,000",0,3,2016,노원로1나길 15,202302~202502,신규,-,,,연립다세대
41,서울특별시 노원구 공릉동,513-57,513,57,(513-57),월세,13.43,202212,26,"4,000",22,3,2013,동일로186길 36-20,-,-,-,,,연립다세대
42,서울특별시 노원구 공릉동,503-41,503,41,마인드밸리,월세,72.25,202212,26,"2,000",30,2,2005,동일로190길 50,-,-,-,,,연립다세대
