NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
1,서울특별시 노원구 중계동,360-12,360,12,새롬스타빌,월세,21.55,202312,29,500,55,4,2002,한글비석로 233,202312~202412,신규,-,,
2,서울특별시 노원구 월계동,366-3,366,3,카펠라오피스텔,월세,33.75,202312,29,"2,000",55,2,2003,광운로 86,202402~202501,신규,-,,
3,서울특별시 노원구 월계동,379-17,379,17,모두스타빌,월세,15.68,202312,28,"2,000",48,6,2020,석계로18길 8,202402~202502,신규,-,,
4,서울특별시 노원구 공릉동,653-5,653,5,엘네스트빌 오피스텔,월세,22.8,202312,28,"1,000",55,5,2003,화랑로 465,202401~202501,신규,-,,
5,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,27.78,202312,28,500,55,4,2004,동일로 1701,202401~202501,신규,-,,
6,서울특별시 노원구 월계동,366-3,366,3,카펠라오피스텔,월세,30,202312,28,500,60,6,2003,광운로 86,202402~202502,신규,-,,
7,서울특별시 노원구 상계동,1258,1258,0,오피앙,전세,23.37,202312,27,"9,500",0,14,2004,동일로 1701,202402~202602,신규,-,,
8,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202312,27,"2,000",45,13,2004,동일로 1701,202402~202502,갱신,-,"1,000",50
9,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,월세,18.96,202312,26,"1,000",75,10,2023,상계로 32,202401~202501,신규,-,,
10,서울특별시 노원구 상계동,734-3,734,3,노빌리안골드,월세,27.72,202312,26,500,55,6,2004,노해로 452,202312~202412,신규,-,,
11,서울특별시 노원구 공릉동,383-12,383,12,건양오피스텔,월세,16.02,202312,26,"1,000",40,2,2012,동일로191가길 6,202402~202602,신규,-,,
12,서울특별시 노원구 하계동,256-13,256,13,삼정 이오니아,월세,26.91,202312,23,"1,000",60,5,2003,노원로 248,202401~202601,신규,-,,
13,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202312,22,500,47,9,2004,동일로 1701,202401~202501,신규,-,,
14,서울특별시 노원구 공릉동,383-12,383,12,건양오피스텔,월세,17.14,202312,22,"1,000",45,2,2012,동일로191가길 6,202402~202602,신규,-,,
15,서울특별시 노원구 중계동,506,506,0,-506,전세,66.09,202312,22,"33,000",0,13,2005,동일로203가길 29,202402~202602,신규,-,,
16,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,월세,18.96,202312,22,"1,000",73,8,2023,상계로 32,202402~202502,신규,-,,
17,서울특별시 노원구 공릉동,653-5,653,5,엘네스트빌 오피스텔,월세,32.8,202312,21,"1,000",75,4,2003,화랑로 465,202401~202601,신규,-,,
18,서울특별시 노원구 상계동,734-3,734,3,노빌리안골드,월세,30.24,202312,21,500,55,7,2004,노해로 452,202401~202501,신규,-,,
19,서울특별시 노원구 중계동,506,506,0,-506,월세,93.37,202312,19,"25,000",100,7,2005,동일로203가길 29,202402~202602,갱신,-,"20,000",140
20,서울특별시 노원구 공릉동,670-11,670,11,로우폴리스,전세,28.69,202312,19,"11,000",0,7,2004,화랑로 449-7,202312~202512,갱신,-,"11,000",0
21,서울특별시 노원구 상계동,1262,1262,0,하이베라스,월세,41.35,202312,19,"1,000",70,5,2003,동일로 1689,202312~202406,신규,-,,
22,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,27.78,202312,19,"1,000",50,15,2004,동일로 1701,202312~202412,신규,-,,
23,서울특별시 노원구 상계동,1258,1258,0,오피앙,월세,23.37,202312,18,500,47,9,2004,동일로 1701,202401~202501,신규,-,,
24,서울특별시 노원구 중계동,509-1,509,1,씨앤미,월세,34.29,202312,18,"3,000",50,9,2004,동일로204가길 34,202401~202501,신규,-,,
25,서울특별시 노원구 월계동,366-3,366,3,카펠라오피스텔,월세,33.75,202312,16,"1,000",53,5,2003,광운로 86,202402~202502,신규,-,,
26,서울특별시 노원구 중계동,360-12,360,12,새롬스타빌,월세,28.2,202312,15,500,60,2,2002,한글비석로 233,202401~202501,신규,-,,
27,서울특별시 노원구 상계동,706-2,706,2,노원역 보미더클래스 오피스텔,전세,18.96,202312,15,"16,000",0,13,2023,상계로 32,202402~202602,신규,-,,
28,서울특별시 노원구 월계동,379-17,379,17,모두스타빌,월세,18.24,202312,14,"1,000",57,3,2020,석계로18길 8,202402~202502,신규,-,,
