NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
38,서울특별시 노원구 상계동,322-47,322,47,(322-47),월세,32.4,202312,27,"2,000",60,3,1993,상계로10길 19,202401~202601,신규,-,,,연립다세대
39,서울특별시 노원구 상계동,149-20,149,20,센스빌,월세,50.81,202312,27,200,30,4,2002,한글비석로24가길 72-2,-,-,-,,,연립다세대
40,서울특별시 노원구 공릉동,240-47,240,47,오스틴빌리지,월세,20.16,202312,27,"1,000",47,4,2002,공릉로32길 36,202402~202602,신규,-,,,연립다세대
41,서울특별시 노원구 월계동,479-18,479,18,연안주택,월세,14.44,202312,27,"7,500",8,3,2012,광운로2가길 10-10,202401~202601,신규,-,,,연립다세대
42,서울특별시 노원구 공릉동,270-57,270,57,CJ빌,월세,23.05,202312,27,"7,295",5,2,2001,노원로1라길 7,202402~202602,갱신,-,"7,500",0,연립다세대
43,서울특별시 노원구 중계동,90-44,90,44,서강쉐르빌,전세,59.86,202312,27,"27,000",0,2,2015,중계로14바길 15,202312~202512,갱신,-,"30,000",0,연립다세대
44,서울특별시 노원구 중계동,90-38,90,38,현대빌,전세,73.44,202312,27,"23,200",0,3,2007,중계로14바길 22,202401~202601,갱신,사용,"23,100",0,연립다세대
45,서울특별시 노원구 중계동,90-20,90,20,동선빌라A동,월세,36.48,202312,27,"9,500",5,2,1989,중계로14바길 21,202401~202601,-,-,,,연립다세대
46,서울특별시 노원구 월계동,392-45,392,45,에이플러스빌,월세,7.84,202312,26,500,37,5,2016,광운로13길 23,202402~202502,신규,-,,,연립다세대
47,서울특별시 노원구 하계동,61-28,61,28,설악빌라트,전세,45.12,202312,26,"13,400",0,3,2005,공릉로58다길 8,202402~202602,-,-,,,연립다세대
48,서울특별시 노원구 공릉동,441-95,441,95,힐스퀘어A동,월세,21.32,202312,26,"5,000",50,3,2015,공릉로43가길 20,202402~202502,신규,-,,,연립다세대
49,서울특별시 노원구 공릉동,408-50,408,50,춘방재,월세,17.26,202312,26,"1,000",50,4,2015,공릉로43길 37,202402~202502,신규,-,,,연립다세대
50,서울특별시 노원구 공릉동,503-1,503,1,스톤게이트,월세,12.09,202312,26,"7,000",12,3,2012,동일로190길 46,202401~202601,-,-,,,연립다세대
51,서울특별시 노원구 공릉동,503-1,503,1,스톤게이트,월세,12.05,202312,26,"1,000",44,4,2012,동일로190길 46,202402~202502,신규,-,,,연립다세대
52,서울특별시 노원구 공릉동,513-40,513,40,제이하우스(513-40),월세,17,202312,26,"1,000",35,1,2011,동일로186길 48,202402~202502,신규,-,,,연립다세대
53,서울특별시 노원구 월계동,392-45,392,45,에이플러스빌,월세,7.84,202312,26,"2,000",40,5,2016,광운로13길 23,202402~202502,신규,-,,,연립다세대
54,서울특별시 노원구 월계동,392-45,392,45,에이플러스빌,월세,21.45,202312,26,"1,000",45,2,2016,광운로13길 23,202401~202602,신규,-,,,연립다세대
55,서울특별시 노원구 월계동,392-45,392,45,에이플러스빌,월세,21.45,202312,26,"1,000",45,2,2016,광운로13길 23,202401~202602,신규,-,,,연립다세대
56,서울특별시 노원구 월계동,400-1,400,1,MAIBAUM,월세,12.04,202312,26,"1,000",39,2,2011,광운로7길 10-7,202402~202502,신규,-,,,연립다세대
57,서울특별시 노원구 월계동,429-29,429,29,신건안고시텔,월세,53.82,202312,26,"1,000",39,4,2004,석계로13길 11-4,202401~202501,신규,-,,,연립다세대
58,서울특별시 노원구 월계동,274-46,274,46,(274-46),월세,74.66,202312,26,"10,000",37,5,2003,초안산로2라길 19,-,-,-,,,연립다세대
59,서울특별시 노원구 월계동,274-46,274,46,(274-46),월세,74.66,202312,26,"10,000",37,5,2003,초안산로2라길 19,202402~202602,갱신,-,"10,000",33,연립다세대
60,서울특별시 노원구 상계동,1048-29,1048,29,시온1동,월세,56.41,202312,26,"18,329",19,3,2019,동일로237다길 12-9,-,-,-,,,연립다세대
61,서울특별시 노원구 상계동,1104-2,1104,2,"정우빌라가,나동",전세,83.94,202312,26,"13,200",0,1,1986,동일로237가길 37,-,-,-,,,연립다세대
62,서울특별시 노원구 상계동,101-141,101,141,덕정그린빌라,전세,66.72,202312,26,"17,000",0,2,2002,덕릉로115나길 40,202401~202601,갱신,-,"19,000",0,연립다세대
