NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 노원구 월계동,429-19,429,19,모아빌,전세,28.77,202409,13,"20,000",0,4,2018,석계로13길 17-10,202410~202610,신규,-,,,연립다세대
2,서울특별시 노원구 상계동,1380,1380,0,아기솔그린맨션,전세,42.21,202409,12,"5,000",0,-1,1997,상계로35가길 44,202409~202609,신규,-,,,연립다세대
3,서울특별시 노원구 상계동,438-2,438,2,"동원빌라가,나,다",월세,36.61,202409,12,"7,000",20,1,1991,한글비석로31가길 27-11,202409~202609,신규,-,,,연립다세대
4,서울특별시 노원구 상계동,1381-6,1381,6,6차홍진그린맨션,전세,68.14,202409,11,"14,000",0,1,1996,상계로35가길 33,202409~202609,신규,-,,,연립다세대
5,서울특별시 노원구 상계동,389-83,389,83,덤보프라자가동,전세,75.51,202409,9,"24,000",0,2,2002,한글비석로31가길 13,202410~202610,신규,-,,,연립다세대
6,서울특별시 노원구 상계동,404-16,404,16,(404-16),월세,14.7,202409,9,300,40,4,2013,상계로17길 52,202409~202609,신규,-,,,연립다세대
7,서울특별시 노원구 상계동,1389-22,1389,22,토담그린빌라(1389-22),전세,41.41,202409,9,"8,000",0,2,1993,상계로33길 33-3,202411~202611,신규,-,,,연립다세대
8,서울특별시 노원구 월계동,400-8,400,8,대성빌라트,전세,44.22,202409,9,"15,000",0,4,2002,광운로7길 10-5,202410~202610,신규,-,,,연립다세대
9,서울특별시 노원구 상계동,1376-19,1376,19,한우리타운나동,전세,69.68,202409,9,"11,000",0,2,2002,상계로37나길 1-5,202409~202609,신규,-,,,연립다세대
10,서울특별시 노원구 중계동,90-17,90,17,방주빌라,월세,61.89,202409,7,"7,000",55,4,2002,중계로14사길 10,202411~202611,신규,-,,,연립다세대
11,서울특별시 노원구 공릉동,115,115,0,태릉현대홈타운스위트1단지,전세,131.144,202409,7,"79,000",0,3,2004,화랑로51나길 15,202411~202611,신규,-,,,연립다세대
12,서울특별시 노원구 상계동,169-480,169,480,인강빌,월세,57.43,202409,7,"18,000",20,3,2008,한글비석로35길 9,202410~202610,신규,-,,,연립다세대
13,서울특별시 노원구 상계동,169-66,169,66,동방빌라,월세,40.51,202409,7,"12,000",15,2,1994,한글비석로 418-9,202410~202610,신규,-,,,연립다세대
