NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
46,서울특별시 노원구 공릉동,3**,25m미만,20.0,전세,202212,29,9500,0,1980.0,동일로191가길,202302~202402,신규,-,,,단독다가구
47,서울특별시 노원구 공릉동,5**,8m미만,33.0,전세,202212,29,6000,0,2003.0,동일로176길,-,-,-,,,단독다가구
48,서울특별시 노원구 공릉동,5**,12m미만,17.0,전세,202212,29,7000,0,2008.0,동일로178길,202301~202501,신규,-,,,단독다가구
49,서울특별시 노원구 공릉동,5**,12m미만,17.0,전세,202212,29,6000,0,2008.0,동일로178길,-,-,-,,,단독다가구
50,서울특별시 노원구 공릉동,5**,8m미만,31.0,전세,202212,29,21000,0,2022.0,동일로182길,202302~202502,신규,-,,,단독다가구
51,서울특별시 노원구 상계동,3**,8m미만,42.27,전세,202212,29,7000,0,,한글비석로27길,-,-,-,,,단독다가구
52,서울특별시 노원구 상계동,3**,8m미만,35.0,전세,202212,29,5700,0,1993.0,한글비석로29길,-,-,-,,,단독다가구
54,서울특별시 노원구 월계동,3**,8m미만,21.92,전세,202212,29,6000,0,2016.0,광운로17길,-,-,-,,,단독다가구
55,서울특별시 노원구 월계동,5**,8m미만,14.0,전세,202212,29,7500,0,2009.0,광운로15길,202302~202402,신규,-,,,단독다가구
56,서울특별시 노원구 월계동,2**,8m미만,16.0,전세,202212,29,8500,0,2017.0,초안산로2길,202212~202412,신규,-,,,단독다가구
57,서울특별시 노원구 공릉동,4**,8m미만,16.0,전세,202212,29,4500,0,2017.0,공릉로,-,-,-,,,단독다가구
58,서울특별시 노원구 공릉동,6**,8m미만,50.0,전세,202212,28,14500,0,1973.0,동일로175길,202212~202412,갱신,-,"3,000",55.0,단독다가구
59,서울특별시 노원구 공릉동,4**,-,30.0,전세,202212,28,15000,0,2016.0,,-,-,-,,,단독다가구
60,서울특별시 노원구 공릉동,3**,12m미만,13.4,전세,202212,28,6000,0,2018.0,동일로193길,-,-,-,,,단독다가구
61,서울특별시 노원구 공릉동,4**,8m미만,15.0,전세,202212,28,7000,0,2015.0,공릉로41나길,-,-,-,,,단독다가구
62,서울특별시 노원구 공릉동,4**,-,30.0,전세,202212,28,15000,0,2016.0,,-,-,-,,,단독다가구
63,서울특별시 노원구 상계동,4**,12m미만,30.0,전세,202212,28,9000,0,1983.0,한글비석로31가길,202301~202501,신규,-,,,단독다가구
64,서울특별시 노원구 상계동,1**,-,34.62,전세,202212,28,9000,0,1993.0,,-,-,-,,,단독다가구
65,서울특별시 노원구 월계동,3**,8m미만,17.0,전세,202212,28,10000,0,2017.0,광운로15길,202302~202402,신규,-,,,단독다가구
66,서울특별시 노원구 월계동,4**,8m미만,30.0,전세,202212,28,10000,0,2018.0,광운로,202301~202501,신규,-,,,단독다가구
67,서울특별시 노원구 공릉동,4**,8m미만,15.0,전세,202212,28,7000,0,2015.0,공릉로41나길,202301~202501,신규,-,,,단독다가구
68,서울특별시 노원구 공릉동,4**,8m미만,30.0,전세,202212,28,15000,0,2016.0,공릉로,202302~202502,신규,-,,,단독다가구
69,서울특별시 노원구 하계동,1**,12m미만,19.8,전세,202212,28,10000,0,2014.0,공릉로58길,202301~202401,신규,-,,,단독다가구
70,서울특별시 노원구 공릉동,2**,12m미만,12.4,전세,202212,28,8000,0,2016.0,공릉로32길,-,-,-,,,단독다가구
71,서울특별시 노원구 공릉동,4**,8m미만,16.0,전세,202212,28,8500,0,1990.0,공릉로41다길,202302~202402,신규,-,,,단독다가구
72,서울특별시 노원구 공릉동,5**,12m미만,20.0,전세,202212,28,7300,0,2016.0,동일로186길,202301~202501,신규,-,,,단독다가구
73,서울특별시 노원구 공릉동,3**,8m미만,14.0,전세,202212,28,9000,0,2017.0,동일로193가길,202302~202402,신규,-,,,단독다가구
74,서울특별시 노원구 공릉동,3**,8m미만,23.14,전세,202212,28,10000,0,2008.0,동일로190길,202302~202402,신규,-,,,단독다가구
75,서울특별시 노원구 상계동,1**,8m미만,28.89,전세,202212,27,8500,0,1990.0,상계로12길,202301~202501,신규,-,,,단독다가구
