NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
2253,서울특별시 송파구 문정동,652-4,652,4,힐스테이트에코문정,전세,20.79,202404,20,"20,700",0,7,2018,법원로4길 10,202405~202605,신규,-,,
2254,서울특별시 송파구 문정동,652-5,652,5,문정 아이파크,월세,25.77,202404,20,"1,000",97,10,2017,법원로4길 6,202405~202505,신규,-,,
2255,서울특별시 송파구 문정동,652-4,652,4,힐스테이트에코문정,월세,20.79,202404,20,"2,000",85,9,2018,법원로4길 10,202407~202507,갱신,-,"2,000",80
2256,서울특별시 송파구 문정동,652,652,0,송파법조타운푸르지오시티,월세,17.47,202404,20,"1,000",73,4,2018,법원로4길 5,202404~202504,신규,-,,
2257,서울특별시 송파구 문정동,652-4,652,4,힐스테이트에코문정,전세,20.79,202404,20,"18,522",0,8,2018,법원로4길 10,202404~202604,신규,-,,
2258,서울특별시 송파구 문정동,652-1,652,1,프라비다옥토,월세,21.01,202404,20,"1,000",90,10,2016,법원로4길 17,202404~202504,신규,-,,
2259,서울특별시 송파구 문정동,652-1,652,1,프라비다옥토,월세,18.75,202404,20,"2,000",80,10,2016,법원로4길 17,202405~202505,신규,-,,
2260,서울특별시 송파구 문정동,624,624,0,송파 아이파크,월세,29.88,202404,20,"17,000",35,13,2015,법원로 55,202405~202605,신규,-,,
2261,서울특별시 송파구 문정동,620,620,0,송파푸르지오시티,월세,24.9,202404,20,"1,000",90,3,2013,새말로 62,202406~202506,갱신,사용,"1,000",88
2262,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,월세,26.82,202404,20,"18,900",11,11,2013,충민로 5,202405~202605,갱신,-,"21,500",0
2263,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,월세,68.15,202404,20,"5,000",195,8,2013,충민로 5,202406~202506,신규,-,,
2264,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,전세,29.99,202404,20,"24,000",0,2,2013,충민로 5,202404~202604,신규,-,,
2265,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,월세,26.82,202404,20,"1,000",94,10,2013,충민로 5,202406~202506,갱신,-,"1,000",90
2266,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,월세,26.82,202404,20,"1,000",82,4,2013,충민로 5,202404~202504,갱신,-,"1,000",78
2267,서울특별시 송파구 삼전동,08월 12일,8,12,잠실 아레나,월세,35.89,202404,20,"2,000",130,3,2017,백제고분로21길 7-1,202405~202605,신규,-,,
2268,서울특별시 송파구 거여동,605,605,0,휴먼빌 시티,전세,23.14,202404,20,"13,750",0,6,2020,위례송파로3길 12,202405~202505,갱신,사용,"13,100",0
2269,서울특별시 송파구 거여동,605,605,0,휴먼빌 시티,월세,24.15,202404,20,"1,000",85,9,2020,위례송파로3길 12,202405~202505,신규,-,,
2270,서울특별시 송파구 방이동,47,47,0,잠실헤리츠,월세,20.97,202404,20,"1,000",85,8,2017, ,202406~202506,신규,-,,
2271,서울특별시 송파구 방이동,May-47,47,5,잠실 소프라우스 오피스텔,월세,29.72,202404,20,"2,000",125,11,2021, ,202404~202504,갱신,-,"2,000",121
2272,서울특별시 송파구 잠실동,251-9,251,9,동명하이텔,월세,19.47,202404,20,"1,000",65,6,2002,삼전로 79,202405~202605,신규,-,,
2273,서울특별시 송파구 거여동,604-2,604,2,송파 풍산 리치안,전세,20.47,202404,19,"19,000",0,13,2022,위례서로 244,202404~202604,신규,-,,
2274,서울특별시 송파구 문정동,618,618,0,파크하비오,전세,50.5,202404,19,"33,495",0,10,, ,202406~202506,신규,-,,
2275,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,59.92,202404,19,"43,000",33,2,, ,202406~202605,신규,-,,
2276,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,28.44,202404,19,"22,000",15,13,, ,202406~202606,신규,-,,
2277,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,48.93,202404,19,"3,000",160,8,, ,202405~202505,신규,-,,
2278,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,25.12,202404,19,"1,000",89,12,, ,202405~202505,갱신,-,"1,000",83
2279,서울특별시 송파구 문정동,618,618,0,파크하비오,전세,40.83,202404,19,"35,000",0,10,, ,202404~202504,갱신,-,"32,000",0
2280,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,47.37,202404,19,"2,000",116,12,, ,202405~202505,갱신,사용,"2,000",110
2281,서울특별시 송파구 문정동,639-5,639,5,힐스테이트에코송파,월세,21.06,202404,19,"1,000",92,18,2017,정의로7길 13,202405~202505,갱신,-,"1,000",88
2282,서울특별시 송파구 문정동,639-5,639,5,힐스테이트에코송파,월세,21.06,202404,19,"17,000",15,5,2017,정의로7길 13,202405~202605,신규,-,,
2283,서울특별시 송파구 문정동,652-4,652,4,힐스테이트에코문정,월세,20.79,202404,19,"10,000",36,4,2018,법원로4길 10,202405~202505,갱신,-,"10,000",28
2284,서울특별시 송파구 문정동,652-1,652,1,프라비다옥토,전세,19.74,202404,19,"17,600",0,14,2016,법원로4길 17,202404~202504,신규,-,,
