NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 송파구 석촌동,1*,8m미만,40.68,전세,202409,13,"10,000",0,2001,삼학사로18길,202410~202610,신규,-,,,단독다가구
2,서울특별시 송파구 방이동,1**,8m미만,39,월세,202409,13,"2,000",70,1996,오금로23길,202409~202609,신규,-,,,단독다가구
3,서울특별시 송파구 석촌동,1*,8m미만,40,전세,202409,13,"19,000",0,1996,백제고분로36나길,202410~202610,신규,-,,,단독다가구
4,서울특별시 송파구 석촌동,2**,8m미만,34,전세,202409,13,"15,200",0,1994,백제고분로40길,202409~202609,갱신,-,"14,500",0,단독다가구
5,서울특별시 송파구 송파동,1*,8m미만,23.86,월세,202409,12,"2,000",24,1996,송파대로44길,-,-,-,,,단독다가구
6,서울특별시 송파구 오금동,1**,8m미만,61,월세,202409,12,"1,000",80,1995,동남로,202409~202611,신규,-,,,단독다가구
7,서울특별시 송파구 마천동,3**,8m미만,189.51,전세,202409,12,"14,500",0,1984,마천로59길,202409~202609,갱신,-,"11,500",0,단독다가구
8,서울특별시 송파구 잠실동,2**,8m미만,25,전세,202409,12,"3,000",0,1993,석촌호수로12길,202409~202609,신규,-,,,단독다가구
9,서울특별시 송파구 삼전동,1**,8m미만,39,전세,202409,12,"20,000",0,,삼전로10길,-,-,-,,,단독다가구
10,서울특별시 송파구 송파동,1**,8m미만,25.58,월세,202409,11,300,35,1989,송파대로34가길,202409~202609,신규,-,,,단독다가구
11,서울특별시 송파구 풍납동,2**,12m미만,226.77,전세,202409,11,"16,000",0,1976,올림픽로51길,202411~202611,신규,-,,,단독다가구
12,서울특별시 송파구 송파동,1*,12m미만,31.39,전세,202409,11,"17,000",0,,백제고분로41길,202410~202610,신규,-,,,단독다가구
13,서울특별시 송파구 가락동,9*,25m미만,26.44,월세,202409,11,"3,000",40,1997,중대로9길,202409~202609,갱신,-,"6,000",25,단독다가구
14,서울특별시 송파구 거여동,6**,-,49.29,전세,202409,10,"40,000",0,2024,위례북로1길,202410~202610,신규,-,,,단독다가구
15,서울특별시 송파구 풍납동,4**,8m미만,81.22,월세,202409,10,300,30,1992,올림픽로57길,202409~202609,신규,-,,,단독다가구
16,서울특별시 송파구 오금동,5*,8m미만,246.69,월세,202409,10,"15,000",35,2016,동남로23길,202410~202610,신규,-,,,단독다가구
17,서울특별시 송파구 마천동,3**,8m미만,20,월세,202409,10,500,29,1996,마천로61나길,202409~202609,신규,-,,,단독다가구
18,서울특별시 송파구 풍납동,8*,8m미만,37.08,월세,202409,10,"12,000",40,1994,바람드리13길,202410~202610,신규,-,,,단독다가구
19,서울특별시 송파구 마천동,3**,8m미만,20,전세,202409,10,"6,000",0,1996,마천로61나길,202410~202610,신규,-,,,단독다가구
20,서울특별시 송파구 잠실동,2**,8m미만,35,월세,202409,10,"1,000",60,1995,백제고분로11길,202409~202609,갱신,-,"1,000",57,단독다가구
