NO,시군구,번지,본번,부번,건물명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 송파구 가락동,144-16,144,16,(144-16),월세,49.32,202312,31,"7,000",64,3,2011,송이로23길 16-9,202401~202601,신규,-,,,연립다세대
2,서울특별시 송파구 송파동,94-19,94,19,로이센,월세,12.71,202312,31,"1,000",53,4,2008,가락로21길 4-20,202401~202512,신규,-,,,연립다세대
3,서울특별시 송파구 풍납동,80-24,80,24,(80-24),월세,30.14,202312,31,500,60,4,2010,바람드리15길 12-2,202401~202601,신규,-,,,연립다세대
4,서울특별시 송파구 잠실동,312,312,0,다움리치빌,전세,25.75,202312,31,"10,000",0,3,2017,백제고분로12길 5,202401~202512,갱신,-,"19,000",0,연립다세대
5,서울특별시 송파구 문정동,118-11,118,11,아녜스빌,월세,22.66,202312,31,"1,000",57,2,2012,송이로33길 8-22,202402~202602,신규,-,,,연립다세대
6,서울특별시 송파구 풍납동,80-24,80,24,(80-24),월세,30.14,202312,31,500,60,4,2010,바람드리15길 12-2,202401~202601,신규,-,,,연립다세대
7,서울특별시 송파구 가락동,86-19,86,19,체리타운빌,월세,25.87,202312,30,"3,000",95,2,2013,양재대로62길 34,202312~202512,신규,-,,,연립다세대
8,서울특별시 송파구 가락동,187-11,187,11,(187-11),전세,29.95,202312,30,"20,000",0,3,2018,문정로13길 19-17,202312~202512,갱신,-,"20,000",0,연립다세대
9,서울특별시 송파구 잠실동,212-41,212,41,잠실퍼스트빌,월세,26.81,202312,30,"25,300",5,3,2016,석촌호수로12길 17-23,202402~202602,신규,-,,,연립다세대
10,서울특별시 송파구 삼전동,61,61,0,리앤파크,월세,29.95,202312,30,"28,000",9,5,2019,백제고분로28길 16-46,202401~202601,갱신,-,"28,000",0,연립다세대
11,서울특별시 송파구 송파동,Sep-43,43,9,(43-9),월세,26.98,202312,30,"2,000",105,5,2017,백제고분로43길 12,202402~202602,신규,-,,,연립다세대
12,서울특별시 송파구 풍납동,253-3,253,3,MAIBAUM,전세,15.75,202312,30,"10,000",0,4,2013,풍성로14길 31,202312~202512,갱신,사용,"10,000",0,연립다세대
13,서울특별시 송파구 오금동,Sep-71,71,9,더클래식,월세,29.54,202312,30,"5,000",130,2,2023,동남로23길 44,202402~202602,신규,-,,,연립다세대
14,서울특별시 송파구 석촌동,02월 22일,22,2,(22-2),월세,29.39,202312,30,"5,000",28,4,2001,백제고분로33길 28-11,-,-,-,,,연립다세대
15,서울특별시 송파구 석촌동,212-12,212,12,(212-12),전세,129.84,202312,30,"44,000",0,5,2003,삼학사로12길 12,202403~202603,신규,-,,,연립다세대
16,서울특별시 송파구 석촌동,284-12,284,12,남서울빌라,월세,54.2,202312,30,"5,000",130,4,2002,백제고분로40길 4-15,202401~202601,신규,-,,,연립다세대
17,서울특별시 송파구 석촌동,284-12,284,12,남서울빌라,월세,54.2,202312,30,"5,000",130,4,2002,백제고분로40길 4-15,202401~202601,신규,-,,,연립다세대
18,서울특별시 송파구 방이동,Feb-55,55,2,(55-2),전세,26.05,202312,30,"19,100",0,2,2018,위례성대로2길 20,202402~202602,신규,-,,,연립다세대
19,서울특별시 송파구 송파동,Feb-54,54,2,아름다운동행,월세,23.76,202312,30,"3,000",74,3,2021,백제고분로45길 22-7,202402~202602,신규,-,,,연립다세대
20,서울특별시 송파구 석촌동,170-7,170,7,(170-7),월세,20.6,202312,30,"1,000",66,3,2012,백제고분로37가길 14,202402~202601,신규,-,,,연립다세대
21,서울특별시 송파구 송파동,Mar-90,90,3,라온하우스,월세,18.84,202312,30,"15,000",40,3,2021,송파대로40길 1-12,202402~202602,-,-,,,연립다세대
22,서울특별시 송파구 문정동,Apr-36,36,4,서울하이츠빌라(A동),전세,38.6,202312,30,"11,000",0,-1,1993,동남로6길 35-12,202401~202601,신규,-,,,연립다세대
23,서울특별시 송파구 가락동,91-13,91,13,써니힐,월세,29.81,202312,30,"28,000",20,5,2019,양재대로62길 12,202402~202602,갱신,-,"36,000",0,연립다세대
24,서울특별시 송파구 가락동,91-13,91,13,써니힐,월세,29.81,202312,30,"28,000",20,5,2019,양재대로62길 12,-,-,-,,,연립다세대
25,서울특별시 송파구 송파동,109,109,0,(109-0),월세,13.04,202312,30,"2,000",45,2,2011,가락로21길 38,202402~202602,신규,-,,,연립다세대
26,서울특별시 송파구 송파동,16-19,16,19,(16-19),전세,37.34,202312,30,"22,000",0,2,2003,송파대로44길 12,202402~202602,신규,-,,,연립다세대
27,서울특별시 송파구 거여동,546-3,546,3,옥수빌리지,월세,46.56,202312,30,"3,000",60,2,2003,오금로64가길 6,202401~202501,신규,-,,,연립다세대
28,서울특별시 송파구 방이동,93,93,0,흥진맨션,월세,69,202312,30,"33,000",3,4,1996,올림픽로32길 38,202403~202603,신규,-,,,연립다세대
29,서울특별시 송파구 송파동,14-14,14,14,한성그린빌,월세,102.51,202312,30,"1,000",65,3,2003,송파대로44길 11,202401~202601,신규,-,,,연립다세대
30,서울특별시 송파구 송파동,10월 04일,10,4,(10-4),월세,24.75,202312,30,"1,000",62,3,2002,백제고분로41길 35-5,202312~202512,갱신,-,"1,000",60,연립다세대
31,서울특별시 송파구 송파동,136-13,136,13,(136-13),전세,28.865,202312,30,"28,900",0,3,2019,백제고분로46길 7-17,202401~202601,신규,-,,,연립다세대
32,서울특별시 송파구 삼전동,26-15,26,15,대림아트빌라2차(26-15),월세,41.04,202312,30,"15,000",10,-1,2001,백제고분로23길 20,202402~202602,신규,-,,,연립다세대
33,서울특별시 송파구 삼전동,Feb-34,34,2,(34-2),월세,27.72,202312,30,"1,000",66,2,2002,백제고분로22길 20-13,202401~202601,신규,-,,,연립다세대
34,서울특별시 송파구 삼전동,Jul-94,94,7,가람빌라,월세,19.64,202312,30,500,47,5,2004,삼전로10길 27-1,-,-,-,,,연립다세대
35,서울특별시 송파구 삼전동,163-4,163,4,모던빌라(163-4),월세,41.6,202312,30,"3,000",80,2,1986,백제고분로32길 12-4,202401~202601,신규,-,,,연립다세대
36,서울특별시 송파구 삼전동,163-14,163,14,(163-14),전세,35.1,202312,30,"23,500",0,2,2004,백제고분로32길 12-8,202401~202501,갱신,-,"24,150",0,연립다세대
37,서울특별시 송파구 삼전동,65-19,65,19,(65-19),월세,29.35,202312,30,"3,000",42,2,2011,백제고분로28길 27-19,202401~202601,신규,-,,,연립다세대
38,서울특별시 송파구 삼전동,125-7,125,7,타워빌라,월세,26.64,202312,30,"1,700",65,3,2015,백제고분로31길 24-9,202402~202602,신규,-,,,연립다세대
39,서울특별시 송파구 잠실동,218-21,218,21,유정빌라,월세,39.65,202312,30,"1,000",79,2,2002,백제고분로11길 27-1,202402~202602,신규,-,,,연립다세대
40,서울특별시 송파구 잠실동,299-8,299,8,대훈solidvill,전세,38.18,202312,30,"17,000",0,2,2003,도곡로64길 20-1,202401~202601,신규,-,,,연립다세대
41,서울특별시 송파구 방이동,93,93,0,흥진맨션,월세,69,202312,30,"33,000",25,4,1996,올림픽로32길 38,202403~202603,신규,사용,,,연립다세대
42,서울특별시 송파구 방이동,117-21,117,21,태한빌라,월세,77.57,202312,30,"1,000",50,4,2002,백제고분로48나길 7-18,202401~202601,신규,-,,,연립다세대
43,서울특별시 송파구 방이동,155-15,155,15,실로빌,월세,35.72,202312,30,"1,000",58,5,2011,백제고분로50길 30-14,202401~202601,신규,-,,,연립다세대
44,서울특별시 송파구 송파동,Mar-90,90,3,라온하우스,월세,20.68,202312,30,"13,000",29,3,2021,송파대로40길 1-12,202401~202601,신규,-,,,연립다세대
45,서울특별시 송파구 방이동,136-10,136,10,유성빌,전세,41.92,202312,30,"30,000",0,4,2015,백제고분로48길 41-22,202402~202602,신규,-,,,연립다세대
46,서울특별시 송파구 풍납동,269-11,269,11,한흥빌라,월세,31.19,202312,30,0,20,-1,1996,토성로5길 5-8,202312~202512,신규,-,,,연립다세대
47,서울특별시 송파구 문정동,121-14,121,14,(121-14),월세,38.59,202312,30,"1,000",67,5,2012,송이로31길 8-18,202401~202601,신규,-,,,연립다세대
48,서울특별시 송파구 문정동,07월 06일,7,6,(7-6),전세,46.02,202312,30,"34,000",0,3,2017,동남로8길 19-9,202402~202602,신규,-,,,연립다세대
49,서울특별시 송파구 문정동,112-8,112,8,예우재,월세,18.54,202312,30,"17,500",7,3,2017,송이로38길 8,202401~202601,갱신,-,"7,000",53,연립다세대
50,서울특별시 송파구 가락동,86-19,86,19,체리타운빌,월세,25.87,202312,30,"3,000",95,2,2013,양재대로62길 34,-,-,-,,,연립다세대
51,서울특별시 송파구 마천동,349-16,349,16,청홍빌라,전세,47.34,202312,30,"17,000",0,2,2006,성내천로33나길 3,202402~202602,신규,-,,,연립다세대
52,서울특별시 송파구 마천동,207-14,207,14,대지빌라,전세,49.8,202312,29,"19,000",0,2,1990,성내천로43가길 15,202402~202602,신규,-,,,연립다세대
53,서울특별시 송파구 송파동,102-11,102,11,(102-11),전세,35.57,202312,29,"28,000",0,3,2019,송이로4길 12,202312~202512,갱신,사용,"27,300",0,연립다세대
54,서울특별시 송파구 잠실동,233-14,233,14,케이프타운,월세,27.44,202312,29,"21,500",18,4,2016,백제고분로17길 3,202402~202602,갱신,-,"21,500",12,연립다세대
55,서울특별시 송파구 잠실동,233-14,233,14,케이프타운,월세,35.94,202312,29,"20,000",9,2,2016,백제고분로17길 3,202401~202601,갱신,-,"20,000",4,연립다세대
56,서울특별시 송파구 잠실동,339-10,339,10,(339-10),월세,51.805,202312,29,"13,000",43,2,2014,백제고분로20길 13-36,202401~202601,갱신,-,"13,000",38,연립다세대
57,서울특별시 송파구 잠실동,238-11,238,11,새내빌,월세,58.515,202312,29,"23,000",100,3,2016,백제고분로19길 15-24,202401~202601,신규,-,,,연립다세대
58,서울특별시 송파구 잠실동,238-11,238,11,새내빌,월세,58.515,202312,29,"23,000",100,3,2016,백제고분로19길 15-24,202401~202601,신규,-,,,연립다세대
59,서울특별시 송파구 잠실동,207-6,207,6,런던빌(207-6),전세,29.68,202312,29,"28,000",0,4,2017,백제고분로7길 52-28,202402~202602,신규,-,,,연립다세대
60,서울특별시 송파구 잠실동,206-23,206,23,(206-23),월세,18.75,202312,29,"5,740",45,3,2019,백제고분로7길 46-36,202401~202601,갱신,-,"5,000",45,연립다세대
61,서울특별시 송파구 잠실동,245-6,245,6,이룬하우징(245-6),월세,18.24,202312,29,"13,000",16,2,2012,삼전로9길 10,202312~202512,신규,-,,,연립다세대
62,서울특별시 송파구 잠실동,247,247,0,삼형빌딩,월세,69.95,202312,29,"17,000",56,4,2003,백제고분로19길 16,202312~202412,갱신,-,"17,000",50,연립다세대
63,서울특별시 송파구 잠실동,246-1,246,1,(246-1),월세,54.05,202312,29,"3,000",77,4,2003,삼전로9길 17,202312~202512,갱신,사용,"3,000",74,연립다세대
64,서울특별시 송파구 삼전동,Jan-57,57,1,한성빌라(57-1),전세,29.78,202312,29,"30,000",0,2,2022,백제고분로28길 20-9,202402~202602,신규,-,,,연립다세대
65,서울특별시 송파구 송파동,102-11,102,11,(102-11),전세,35.57,202312,29,"28,000",0,3,2019,송이로4길 12,-,-,-,,,연립다세대
66,서울특별시 송파구 송파동,88-22,88,22,(88-22),월세,19.01,202312,29,"1,000",74,3,2018,백제고분로42길 18-6,202401~202601,신규,-,,,연립다세대
67,서울특별시 송파구 송파동,117-16,117,16,파크쉐르빌,월세,28.43,202312,29,"3,000",100,3,2016,백제고분로44길 42,202401~202601,신규,-,,,연립다세대
68,서울특별시 송파구 송파동,139-23,139,23,라이프팰리스2차,월세,38.23,202312,29,"28,700",5,3,2014,가락로31길 31,202402~202602,신규,-,,,연립다세대
69,서울특별시 송파구 송파동,12월 22일,22,12,아트하우스(22-12),월세,57.67,202312,29,"21,600",25,4,2007,백제고분로41길 8-21,202402~202602,신규,-,,,연립다세대
70,서울특별시 송파구 송파동,12월 22일,22,12,아트하우스(22-12),월세,57.67,202312,29,"21,600",25,4,2007,백제고분로41길 8-21,-,-,-,,,연립다세대
71,서울특별시 송파구 송파동,10월 21일,21,10,송파동다세대,월세,43.52,202312,29,"3,000",87,2,2005,백제고분로41길 6-19,202402~202602,신규,-,,,연립다세대
72,서울특별시 송파구 송파동,117-3,117,3,송원주택,월세,59.83,202312,29,"12,000",85,2,2001,백제고분로44길 18,202402~202602,신규,-,,,연립다세대
73,서울특별시 송파구 송파동,Jun-41,41,6,(41-6),월세,31.54,202312,29,"8,000",39,4,2003,백제고분로43길 11,202402~202602,신규,-,,,연립다세대
74,서울특별시 송파구 석촌동,164-2,164,2,청풍빌,월세,41.95,202312,29,"17,900",26,2,2004,석촌호수로20길 19,202402~202602,신규,-,,,연립다세대
75,서울특별시 송파구 석촌동,292-1,292,1,건영아트빌,전세,59.04,202312,29,"31,800",0,4,2004,백제고분로40길 21-22,202401~202601,신규,-,,,연립다세대
76,서울특별시 송파구 석촌동,241,241,0,(241-0),전세,65.58,202312,29,"37,500",0,5,2007,송파대로37길 104,202401~202601,신규,-,,,연립다세대
77,서울특별시 송파구 석촌동,04월 11일,4,11,제이에스홈,월세,27,202312,29,"10,000",27,4,2011,백제고분로33길 29-14,202402~202602,신규,-,,,연립다세대
78,서울특별시 송파구 석촌동,218-18,218,18,우노하우스(1동),월세,17.1,202312,29,"13,650",3,2,2013,삼학사로8길 6,202401~202601,신규,-,,,연립다세대
79,서울특별시 송파구 석촌동,218-18,218,18,우노하우스(1동),월세,17.1,202312,29,"13,650",3,2,2013,삼학사로8길 6,202401~202601,신규,-,,,연립다세대
80,서울특별시 송파구 석촌동,170-6,170,6,리더스빌,월세,23.52,202312,29,"1,000",63,3,2013,백제고분로39길 13-16,202402~202602,신규,-,,,연립다세대
81,서울특별시 송파구 석촌동,229-13,229,13,지누빌,전세,25.2,202312,29,"18,300",0,3,2017,삼학사로6길 21,202403~202603,신규,-,,,연립다세대
82,서울특별시 송파구 가락동,127-6,127,6,127-6,월세,34.31,202312,29,"1,000",93,3,2020,송이로27길 7,202401~202601,신규,-,,,연립다세대
83,서울특별시 송파구 가락동,157-16,157,16,본하우스,전세,28.76,202312,29,"25,000",0,4,2018,오금로38길 18,202402~202602,신규,-,,,연립다세대
84,서울특별시 송파구 가락동,173-10,173,10,T&N빌라,월세,29.58,202312,29,"5,000",76,4,2015,오금로44길 20-13,202401~202601,신규,-,,,연립다세대
85,서울특별시 송파구 가락동,153-6,153,6,OLIVIAVILL,전세,36.78,202312,29,"20,600",0,2,2015,송이로23길 52-36,202402~202602,신규,-,,,연립다세대
86,서울특별시 송파구 가락동,169-11,169,11,영빌리지,월세,28.91,202312,29,0,55,4,2008,오금로44가길 7-9,202312~202512,신규,-,,,연립다세대
87,서울특별시 송파구 가락동,173-5,173,5,드림뷰빌리지,월세,44.59,202312,29,"20,000",29,4,2004,오금로44가길 7-23,202401~202601,신규,-,,,연립다세대
88,서울특별시 송파구 문정동,07월 13일,13,7,서도휴빌,월세,29.34,202312,29,"13,709",11,2,2022,문정로5길 3-36,202312~202601,신규,-,,,연립다세대
89,서울특별시 송파구 문정동,08월 22일,22,8,문정헤리츠,월세,29.11,202312,29,"23,000",15,2,2019,동남로8길 26-7,202401~202601,신규,-,,,연립다세대
90,서울특별시 송파구 문정동,33-17,33,17,(33-17),월세,15.37,202312,29,"1,000",52,5,2011,동남로6길 29-7,202401~202601,신규,-,,,연립다세대
91,서울특별시 송파구 문정동,118-19,118,19,포레스트,월세,18.95,202312,29,"1,000",55,3,2011,송이로33길 8,202402~202602,신규,-,,,연립다세대
92,서울특별시 송파구 방이동,144-12,144,12,대화,전세,56.76,202312,29,"38,000",0,2,2013,백제고분로48가길 14-29,202403~202603,신규,-,,,연립다세대
93,서울특별시 송파구 방이동,135-11,135,11,현인재,전세,21.44,202312,29,"10,500",0,4,2011,가락로38길 6,202402~202602,신규,-,,,연립다세대
94,서울특별시 송파구 방이동,135-11,135,11,현인재,월세,14.52,202312,29,"10,000",2,2,2011,가락로38길 6,202401~202601,신규,-,,,연립다세대
95,서울특별시 송파구 거여동,21-16,21,16,씨엘타워,전세,27.31,202312,29,"27,000",0,8,2021,오금로57길 4,202401~202601,신규,-,,,연립다세대
96,서울특별시 송파구 거여동,12월 14일,14,12,씨펠리스,전세,55.69,202312,29,"28,500",0,3,2017,거마로3길 36,202402~202602,신규,-,,,연립다세대
97,서울특별시 송파구 오금동,Aug-47,47,8,(47-8),월세,53.1,202312,29,"10,000",48,3,2009,중대로27길 4-1,202402~202502,신규,-,,,연립다세대
98,서울특별시 송파구 오금동,Aug-47,47,8,(47-8),월세,53.1,202312,29,"10,000",48,3,2009,중대로27길 4-1,202402~202502,신규,-,,,연립다세대
99,서울특별시 송파구 오금동,Apr-94,94,4,(94-4),전세,20.37,202312,29,"12,728",0,2,2018,중대로40길 3,202403~202603,갱신,-,"12,128",0,연립다세대
100,서울특별시 송파구 풍납동,231-41,231,41,삼성아트빌,월세,41.56,202312,29,"14,000",43,2,2016,풍성로20길 13,202403~202603,갱신,-,"14,000",40,연립다세대
101,서울특별시 송파구 삼전동,Nov-65,65,11,(65-11),월세,50.94,202312,29,"14,000",35,3,2004,백제고분로28길 27-7,-,-,-,,,연립다세대
102,서울특별시 송파구 삼전동,12월 11일,12,11,(12-11),월세,24.78,202312,29,"2,500",60,4,2013,삼전로8길 15-1,202402~202602,신규,-,,,연립다세대
103,서울특별시 송파구 삼전동,Jan-61,61,1,(61-1),전세,28.63,202312,29,"32,000",0,3,2022,백제고분로28길 6-9,202402~202601,신규,-,,,연립다세대
104,서울특별시 송파구 문정동,93-13,93,13,광동주택(1차),전세,52.63,202312,28,"13,000",0,1,1994,새말로15길 5,202312~202412,신규,-,,,연립다세대
105,서울특별시 송파구 석촌동,157-3,157,3,(157-3),월세,51.03,202312,28,"2,000",80,5,2002,석촌호수로18길 7-13,202403~202603,신규,-,,,연립다세대
106,서울특별시 송파구 석촌동,157-3,157,3,(157-3),전세,73.29,202312,28,"38,000",0,5,2002,석촌호수로18길 7-13,202403~202603,신규,-,,,연립다세대
107,서울특별시 송파구 송파동,09월 24일,24,9,(24-9),월세,34.94,202312,28,"14,000",27,2,2004,송파대로44길 21,202402~202602,신규,-,,,연립다세대
108,서울특별시 송파구 송파동,106-2,106,2,아담빌라,전세,72.6,202312,28,"30,000",0,3,2001,백제고분로42길 37-6,202402~202602,신규,-,,,연립다세대
109,서울특별시 송파구 송파동,106-2,106,2,아담빌라,전세,72.6,202312,28,"30,000",0,3,2001,백제고분로42길 37-6,202402~202602,신규,-,,,연립다세대
110,서울특별시 송파구 송파동,101-10,101,10,101-10,전세,25.61,202312,28,"38,000",0,5,2019,송이로6길 8,202401~202601,신규,-,,,연립다세대
111,서울특별시 송파구 석촌동,07월 18일,18,7,제이하우스,전세,24.5,202312,28,"12,000",0,2,2000,삼학사로16길 21,202402~202602,신규,-,,,연립다세대
112,서울특별시 송파구 잠실동,246-3,246,3,(246-3),월세,33.11,202312,28,"3,000",89,3,2013,삼전로9길 13,202402~202602,신규,-,,,연립다세대
113,서울특별시 송파구 잠실동,337-8,337,8,GOODPEOPLEHOUSE,전세,41.62,202312,28,"26,000",0,4,2013,백제고분로20길 7-9,202402~202502,신규,-,,,연립다세대
114,서울특별시 송파구 삼전동,34-27,34,27,(34-27),월세,28.98,202312,28,"12,500",10,4,2001,삼전로4길 15-1,202401~202601,갱신,-,"12,000",10,연립다세대
115,서울특별시 송파구 방이동,180-17,180,17,(180-17),월세,17.02,202312,28,"2,000",56,3,2016,백제고분로50길 7-15,202401~202501,갱신,-,"2,000",56,연립다세대
116,서울특별시 송파구 방이동,168-4,168,4,명한빌,월세,15.17,202312,28,"1,000",45,3,2011,가락로 285,202312~202512,신규,-,,,연립다세대
117,서울특별시 송파구 방이동,138,138,0,(138-0),월세,26.84,202312,28,"1,000",58,4,2008,가락로37길 10,202312~202512,신규,-,,,연립다세대
118,서울특별시 송파구 방이동,169,169,0,대성맨션,전세,115.48,202312,28,"42,000",0,1,1989,위례성대로8길 5,202312~202512,신규,-,,,연립다세대
119,서울특별시 송파구 방이동,153-2,153,2,현대맨션,전세,68.7,202312,28,"37,000",0,2,1991,위례성대로6길 24-15,202402~202602,신규,-,,,연립다세대
120,서울특별시 송파구 풍납동,399-14,399,14,노벨빌,월세,18.37,202312,28,"5,000",40,2,2013,강동대로9길 13-1,202401~202601,신규,-,,,연립다세대
121,서울특별시 송파구 삼전동,Jan-56,56,1,임강주택,전세,40.73,202312,28,"17,850",0,4,2002,백제고분로28길 24-17,202312~202603,갱신,-,"17,850",0,연립다세대
122,서울특별시 송파구 삼전동,166-7,166,7,라이트빌,월세,50.28,202312,28,"1,000",66,2,2003,백제고분로32길 26-12,202401~202601,신규,-,,,연립다세대
123,서울특별시 송파구 오금동,114-45,114,45,신승파크빌(101동),전세,73.14,202312,28,"30,000",0,3,2002,마천로 201,202402~202602,신규,-,,,연립다세대
124,서울특별시 송파구 오금동,114-45,114,45,신승파크빌(101동),전세,73.14,202312,28,"30,000",0,3,2002,마천로 201,-,-,-,,,연립다세대
125,서울특별시 송파구 오금동,123-4,123,4,승익하이츠,전세,57.53,202312,28,"23,000",0,3,2000,마천로21길 7-1,202312~202512,갱신,-,"22,000",0,연립다세대
126,서울특별시 송파구 오금동,140-3,140,3,파크뷰,월세,44.24,202312,28,500,40,2,2011,동남로28길 12-12,-,-,-,,,연립다세대
127,서울특별시 송파구 오금동,158-8,158,8,에스아이팰리스오금,전세,34.48,202312,28,"35,000",0,7,2022,문정로 219,202401~202601,신규,-,,,연립다세대
128,서울특별시 송파구 삼전동,179-8,179,8,희원팰리스,전세,42.74,202312,28,"21,600",0,2,2002,백제고분로32길 3-14,202402~202602,신규,-,,,연립다세대
129,서울특별시 송파구 삼전동,165-19,165,19,정동,월세,69.355,202312,28,"20,000",15,2,2008,삼학사로9길 24,202402~202602,갱신,-,"20,000",10,연립다세대
130,서울특별시 송파구 석촌동,10월 02일,10,2,잠실나루힐,전세,29.98,202312,28,"29,400",0,3,2020,삼학사로16길 3-9,202402~202602,갱신,-,"29,400",0,연립다세대
131,서울특별시 송파구 석촌동,219-1,219,1,욱빈힐타움,월세,27.97,202312,28,"24,600",15,5,2018,삼학사로6길 8-1,202402~202602,신규,-,,,연립다세대
132,서울특별시 송파구 석촌동,166-12,166,12,(166-12),월세,12.17,202312,28,"1,000",56,2,2013,송파대로45길 16,202401~202601,갱신,-,500,55,연립다세대
133,서울특별시 송파구 삼전동,164-10,164,10,OnePalace,월세,29.84,202312,28,"20,900",20,3,2010,백제고분로32길 18-8,202402~202602,신규,-,,,연립다세대
