NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
1,서울특별시 송파구 문정동,652-5,652,5,문정 아이파크,월세,25.77,202212,31,"1,000",95,13,2017,법원로4길 6,202301~202401,갱신,-,"1,000",80
2,서울특별시 송파구 문정동,652-5,652,5,문정 아이파크,전세,25.77,202212,31,"22,000",0,12,2017,법원로4길 6,202302~202502,신규,-,,
3,서울특별시 송파구 가락동,Apr-77,77,4,송파KCC웰츠타워,전세,39.49,202212,31,"23,000",0,13,2011,송파대로28길 43,202301~202501,신규,-,,
4,서울특별시 송파구 문정동,622,622,0,송파한화오벨리스크,전세,26.82,202212,31,"21,000",0,7,2013,충민로 5,202302~202502,갱신,사용,"20,500",0
5,서울특별시 송파구 방이동,Jun-49,49,6,잠실 더클래스원,월세,24.14,202212,31,820,61,16,2021,오금로11길 61,202301~202501,신규,-,,
6,서울특별시 송파구 방이동,May-49,49,5,올림픽파크존오피스텔,월세,24.13,202212,31,500,65,7,2002,오금로11길 59,202212~202312,신규,-,,
7,서울특별시 송파구 문정동,620,620,0,송파푸르지오시티,월세,30,202212,31,"1,000",100,14,2013,새말로 62,202301~202401,신규,-,,
8,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,48.96,202212,31,"2,000",154,13,, ,202303~202403,갱신,사용,"2,000",147
9,서울특별시 송파구 문정동,624,624,0,송파 아이파크,전세,25.87,202212,31,"22,500",0,11,2015,법원로 55,202301~202401,갱신,-,"22,000",0
10,서울특별시 송파구 방이동,Jun-49,49,6,잠실 더클래스원,월세,18.52,202212,30,624,46,11,2021,오금로11길 61,-,-,-,,
11,서울특별시 송파구 방이동,Oct-51,51,10,성희파크빌,전세,29.44,202212,30,"30,000",0,4,2020,백제고분로 507,202302~202502,신규,-,,
12,서울특별시 송파구 거여동,605,605,0,휴먼빌 시티,월세,24.15,202212,30,"3,000",66,9,2020, ,202301~202501,신규,-,,
13,서울특별시 송파구 방이동,50,50,0,잠실엘퍼스트오피스텔,전세,18.07,202212,30,"20,000",0,19,2019,백제고분로51길 7,202301~202501,신규,-,,
14,서울특별시 송파구 거여동,604-2,604,2,송파 풍산 리치안,전세,20.47,202212,30,"19,000",0,12,2022,위례서로 244,202302~202502,신규,-,,
15,서울특별시 송파구 방이동,Feb-47,47,2,에비뉴잠실,전세,41.45,202212,30,"30,000",0,8,2020,오금로11길 47-16,202301~202501,신규,-,,
16,서울특별시 송파구 방이동,Jun-49,49,6,잠실 더클래스원,월세,24.14,202212,30,820,52,5,2021,오금로11길 61,-,-,-,,
17,서울특별시 송파구 방이동,Jun-49,49,6,잠실 더클래스원,월세,24.14,202212,30,"3,820",37,5,2021,오금로11길 61,-,-,-,,
18,서울특별시 송파구 방이동,Jun-49,49,6,잠실 더클래스원,월세,24.14,202212,30,"3,820",37,5,2021,오금로11길 61,202302~202502,신규,-,,
19,서울특별시 송파구 방이동,Jun-49,49,6,잠실 더클래스원,월세,18.52,202212,30,"2,000",39,11,2021,오금로11길 61,202302~202502,신규,-,,
20,서울특별시 송파구 방이동,49,49,0,오르본 인투파크 오피스텔,월세,29,202212,30,"1,000",140,10,2018,오금로11길 55-22,202302~202502,신규,-,,
21,서울특별시 송파구 방이동,Jun-49,49,6,잠실 더클래스원,월세,18.52,202212,30,624,46,13,2021,오금로11길 61,202212~202412,신규,-,,
