NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,서울특별시 송파구 잠실동,1**,-,39.6,월세,202212,31,"5,000",45,1997,,-,-,-,,,단독다가구
2,서울특별시 송파구 잠실동,3**,8m미만,46.08,전세,202212,31,"20,000",0,1997,백제고분로18길,-,-,-,,,단독다가구
3,서울특별시 송파구 가락동,4*,-,28,전세,202212,31,"13,000",0,1990,,-,-,-,,,단독다가구
4,서울특별시 송파구 송파동,3*,8m미만,24.7,월세,202212,31,500,40,1995,오금로16길,202302~202401,신규,-,,,단독다가구
5,서울특별시 송파구 송파동,1**,12m미만,21,전세,202212,31,"15,000",0,1987,백제고분로42길,202301~202501,신규,-,,,단독다가구
6,서울특별시 송파구 송파동,9*,-,44,월세,202212,31,"18,000",20,1996,,-,-,-,,,단독다가구
7,서울특별시 송파구 가락동,3*,8m미만,29,월세,202212,31,"7,000",12,1989,송이로19길,-,갱신,-,"7,000",10,단독다가구
8,서울특별시 송파구 문정동,1*,8m미만,90.3,월세,202212,31,"3,000",125,1988,문정로5길,202302~202502,신규,-,,,단독다가구
9,서울특별시 송파구 석촌동,2**,8m미만,21,월세,202212,31,"1,000",38,,백제고분로40길,-,갱신,-,"1,000",35,단독다가구
10,서울특별시 송파구 거여동,5**,8m미만,94.36,월세,202212,31,"16,000",55,1988,오금로66길,202302~202502,신규,-,,,단독다가구
11,서울특별시 송파구 풍납동,3**,12m미만,28,월세,202212,31,"2,000",55,1994,강동대로,202302~202502,신규,-,,,단독다가구
12,서울특별시 송파구 풍납동,3**,12m미만,28,월세,202212,31,"2,000",55,1994,강동대로,-,-,-,,,단독다가구
13,서울특별시 송파구 방이동,1**,8m미만,20.06,월세,202212,31,"1,000",55,2006,가락로39길,202212~202412,신규,-,,,단독다가구
14,서울특별시 송파구 거여동,1**,8m미만,23,전세,202212,31,"7,500",0,1992,거마로15길,202302~202502,신규,-,,,단독다가구
15,서울특별시 송파구 석촌동,1**,8m미만,43,월세,202212,31,"5,000",100,2013,송파대로47길,202302~202502,신규,-,,,단독다가구
16,서울특별시 송파구 마천동,1**,8m미만,39,월세,202212,31,800,40,1988,마천로43길,202302~202402,신규,-,,,단독다가구
17,서울특별시 송파구 문정동,8*,8m미만,30,월세,202212,31,"1,000",60,1994,새말로8길,202301~202501,신규,-,,,단독다가구
18,서울특별시 송파구 문정동,8*,12m미만,42.9,전세,202212,31,"20,000",0,1988,송이로36길,202304~202503,갱신,-,"18,900",0,단독다가구
19,서울특별시 송파구 문정동,2*,-,17,월세,202212,31,500,50,1997,,-,-,-,,,단독다가구
20,서울특별시 송파구 풍납동,3**,12m미만,12.48,월세,202212,30,500,35,1997,강동대로3길,202212~202312,신규,-,,,단독다가구
21,서울특별시 송파구 송파동,*,-,33.89,월세,202212,30,"12,000",15,1996,,-,-,-,,,단독다가구
22,서울특별시 송파구 가락동,1**,8m미만,58.32,전세,202212,30,"26,250",0,1988,송이로26길,-,-,-,,,단독다가구
23,서울특별시 송파구 석촌동,*,8m미만,20,전세,202212,30,"14,000",0,1996,삼학사로18길,-,-,-,,,단독다가구
24,서울특별시 송파구 삼전동,5*,8m미만,39,월세,202212,30,"2,000",40,1997,삼학사로3길,202301~202501,신규,-,,,단독다가구
25,서울특별시 송파구 마천동,7*,8m미만,35.56,전세,202212,30,"10,000",0,1986,성내천로30길,-,-,-,,,단독다가구
26,서울특별시 송파구 마천동,8*,8m미만,30.29,월세,202212,30,"1,000",35,1994,거마로24길,202212~202412,신규,-,,,단독다가구
