NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
1,서울특별시 송파구 삼전동,181-4,181,4,집앤사 하우립,전세,18.17,202312,31,"29,000",0,5,2020,삼학사로 39,202312~202512,갱신,-,"29,000",0
2,서울특별시 송파구 거여동,563-10,563,10,거여팰리스,전세,35.34,202312,31,"26,000",0,6,2019,오금로54길 38,202402~202602,신규,-,,
3,서울특별시 송파구 잠실동,194,194,0,잠실아이파크,월세,24.42,202312,30,"1,000",88,6,2013,올림픽로8길 20,202401~202501,신규,-,,
4,서울특별시 송파구 신천동,11월 08일,11,8,더?스타리버,월세,39.38,202312,30,"2,000",110,3,2006,올림픽로35길 93,202401~202503,신규,-,,
5,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,48.96,202312,30,"27,000",33,2,, ,202401~202501,갱신,-,"27,000",19
6,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,48.79,202312,30,"12,000",120,17,, ,202401~202501,신규,-,,
7,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,28.91,202312,30,"1,000",100,16,, ,202402~202602,신규,-,,
8,서울특별시 송파구 문정동,618,618,0,파크하비오,전세,47.37,202312,30,"32,400",0,15,, ,202401~202501,신규,-,,
9,서울특별시 송파구 문정동,639-5,639,5,힐스테이트에코송파,전세,21.06,202312,30,"18,900",0,7,2017,정의로7길 13,202401~202601,신규,-,,
10,서울특별시 송파구 문정동,652-4,652,4,힐스테이트에코문정,전세,37.88,202312,30,"39,200",0,15,2018,법원로4길 10,202402~202602,갱신,-,"38,000",0
11,서울특별시 송파구 문정동,652,652,0,송파법조타운푸르지오시티,전세,20.45,202312,30,"19,300",0,12,2018,법원로4길 5,202401~202601,신규,-,,
12,서울특별시 송파구 문정동,652-5,652,5,문정 아이파크,월세,22.89,202312,30,"1,000",85,12,2017,법원로4길 6,202401~202501,신규,-,,
13,서울특별시 송파구 문정동,652-5,652,5,문정 아이파크,전세,22.4,202312,30,"20,500",0,11,2017,법원로4길 6,202402~202602,신규,-,,
14,서울특별시 송파구 잠실동,250,250,0,뜨레피움2차,전세,25.6,202312,30,"26,500",0,7,2019,백제고분로19길 4,202401~202601,신규,-,,
15,서울특별시 송파구 문정동,624,624,0,송파 아이파크,월세,29.83,202312,30,"1,000",100,9,2015,법원로 55,202401~202501,신규,-,,
16,서울특별시 송파구 문정동,620,620,0,송파푸르지오시티,월세,24.9,202312,30,"19,000",10,12,2013,새말로 62,202401~202601,신규,-,,
17,서울특별시 송파구 문정동,618,618,0,파크하비오,월세,48.96,202312,30,"3,000",117,10,, ,202402~202502,신규,-,,
